Size,Group Name,Camp Key,Position,Sub total,Area
24,Feral Chickens 🐓,Camp181,ADA,44,6908
29,Bob Squad,Camp144,ADA,73,11461
30,Disco Ducks,Camp132,ADA,103,16171
30,Electric Bogaloo,Camp129,ADA,133,20881
31,Texxxas Fuxxx,Camp119,ADA,164,25748
32,Camp Schwifty!,Camp111,ADA,196,30772
37,Big Daddy Purp and the Twerps,Camp79,ADA,233,36581
38,The Boof Cottage,Camp76,ADA,271,42547
40,BOOF WELLINGTON,Camp67,ADA,311,48827
47,Camp Magic Conch,Camp44,ADA,358,56206
48,Camp Electrip - Year 5!,Camp39,ADA,406,63742
53,GOOD VIBE TRIBE,Camp27,ADA,459,72063
78,Bippity Boppity Boof,Camp6,ADA,537,84309
80,Banana Bois b2b Chedda Mommas,Camp5,ADA,617,96869